run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3509,29,9,bppbbpbp,50.269299820466784,p,p,1,60.714285714285715
3fed7a4f-5725-4e59-abf0-008858c12588,3510,1,9,bpppppbp,50.4,b,b,1,55.172413793103445
3fed7a4f-5725-4e59-abf0-008858c12588,3510,3,9,bpbbbppb,51.64075993091537,p,b,0,40.90909090909091
3fed7a4f-5725-4e59-abf0-008858c12588,3510,4,9,pbbbppbb,53.32068311195446,b,b,1,41.935483870967744
3fed7a4f-5725-4e59-abf0-008858c12588,3510,5,9,bppbbbbb,56.28517823639775,b,b,1,40.0
3fed7a4f-5725-4e59-abf0-008858c12588,3510,6,9,pbbbbbbb,50.247933884297524,b,b,1,55.55555555555556
3fed7a4f-5725-4e59-abf0-008858c12588,3510,8,9,pbbpbbpp,50.99818511796733,p,b,0,56.25
3fed7a4f-5725-4e59-abf0-008858c12588,3510,9,9,bpbbppbp,51.11940298507462,b,b,1,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3510,10,9,pbbppbpb,51.438848920863315,b,b,1,37.83783783783784
3fed7a4f-5725-4e59-abf0-008858c12588,3510,12,9,pbpbbppp,54.96323529411765,b,p,0,33.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3510,13,9,bpbbpppp,51.85909980430529,b,b,1,37.93103448275862
3fed7a4f-5725-4e59-abf0-008858c12588,3510,15,9,bppppbbp,51.35623869801085,b,p,0,33.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3510,19,9,bppbbbbp,51.075268817204304,b,p,0,46.666666666666664
3fed7a4f-5725-4e59-abf0-008858c12588,3511,1,9,bpbpbbpb,51.5370705244123,b,p,0,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3511,2,9,pbpbbpbp,51.82481751824818,p,p,1,48.717948717948715
3fed7a4f-5725-4e59-abf0-008858c12588,3511,4,9,pbbpbppp,51.138353765324,p,b,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3511,5,9,bpbpppbp,51.992031872509955,b,b,1,44.827586206896555
3fed7a4f-5725-4e59-abf0-008858c12588,3511,6,9,pbpppbpb,50.4930966469428,b,b,1,42.10526315789474
3fed7a4f-5725-4e59-abf0-008858c12588,3511,7,9,bpppbpbb,50.81669691470054,p,b,0,36.36363636363637
3fed7a4f-5725-4e59-abf0-008858c12588,3511,9,9,bpbbbppb,51.64075993091537,p,p,1,40.90909090909091
3fed7a4f-5725-4e59-abf0-008858c12588,3511,10,9,pbbbppbp,52.244165170556556,b,p,0,42.10526315789474
3fed7a4f-5725-4e59-abf0-008858c12588,3511,12,9,pbppbpbb,51.14942528735632,p,p,1,45.45454545454545
3fed7a4f-5725-4e59-abf0-008858c12588,3511,14,9,pbpbbppp,54.96323529411765,b,p,0,33.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3511,15,9,bpbbpppp,51.85909980430529,b,p,0,37.93103448275862
3fed7a4f-5725-4e59-abf0-008858c12588,3511,16,9,pbbppppp,50.103092783505154,b,p,0,43.47826086956522
3fed7a4f-5725-4e59-abf0-008858c12588,3511,17,9,bppppppp,51.21951219512195,b,b,1,40.0
3fed7a4f-5725-4e59-abf0-008858c12588,3511,18,9,pbbbpbbp,51.58597662771286,b,b,1,52.54237288135593
3fed7a4f-5725-4e59-abf0-008858c12588,3512,1,9,bpbpbbpb,51.5370705244123,b,p,0,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3512,2,9,pbpbbpbp,51.82481751824818,p,p,1,48.717948717948715
3fed7a4f-5725-4e59-abf0-008858c12588,3512,4,9,pbbpbppp,51.138353765324,p,b,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3512,5,9,bpbpppbp,51.992031872509955,b,b,1,44.827586206896555
3fed7a4f-5725-4e59-abf0-008858c12588,3512,6,9,pbpppbpb,50.4930966469428,b,b,1,42.10526315789474
3fed7a4f-5725-4e59-abf0-008858c12588,3512,7,9,bpppbpbb,50.81669691470054,p,b,0,36.36363636363637
